id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q3741462,Hardo Aasmäe,1990-01,1992-04,,Q1676750,,
Q1676750,Jaak Tamm,1992-04,1996-10-31,Q3741462,Q7242969,,
Q7242969,Priit Vilba,1996-10-31,1996-11-14,Q1676750,Q7346851,,
Q7346851,Robert Lepikson,1996-11-14,1997-05,Q7242969,Q11023034,,
Q11023034,Ivi Eenmaa,1997-05,1999-03,Q7346851,Q7160478,,
Q7160478,Peeter Lepp,1999-03,1999-11,Q11023034,Q6321970,,
Q6321970,Jüri Mõis,1999-11,2001-06,Q7160478,Q743319,,
Q743319,Tõnis Palts,2001-06,2001-12,Q6321970,Q355241,,
Q355241,Edgar Savisaar,2001-12,2004-10,Q743319,Q743319,,
Q743319,Tõnis Palts,2004-10,2005-11,Q355241,Q2621730,,
Q2621730,Jüri Ratas,2005-11,2007-04,Q743319,Q355241,,
Q355241,Edgar Savisaar,2007-04-09,2015-09,Q2621730,Q16403144,,
Q16403144,Taavi Aas,2015-09,2019-04,Q355241,Q4250802,,
Q4250802,Mihhail Kõlvart,2019-04,,Q16403144,,,
